Rank in 2020,Rank in 2019,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
701-750,701-750,University of Huddersfield,United Kingdom,L,CO,HI,3,A,-,-,20.2,453,-,-,-,-,55.4,314,73.8,172,15.2 - 16.6
701-750,591-600,University of Hull,United Kingdom,XL,FC,HI,4,A,-,-,-,-,-,-,29.3,442,63.9,276,21.2,514,15.2 - 16.6
701-750,701-750,University of Patras,Greece,L,FC,HI,4,A,-,-,22.3,418,-,-,37.3,358,-,-,-,-,15.2 - 16.6
701-750,701-750,University of Tulsa,United States,S,CO,VH,5,B,-,-,-,-,40.3,382,-,-,-,-,58.6,239,15.2 - 16.6
701-750,651-700,University of Wyoming,United States,M,CO,VH,5,A,-,-,-,-,32.3,468,33.2,403,17.9,574,-,-,15.2 - 16.6
701-750,701-750,Vietnam National University - Ho Chi Minh City (VNU-HCM),Vietnam,XL,FO,MD,2,A,19.4,427,-,-,27,553,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,Yamaguchi University,Japan,M,FC,HI,4,A,-,-,-,-,57.5,258,-,-,-,-,-,-,15.2 - 16.6
751-800,  801-1000,Ajman University,United Arab Emirates,M,CO,MD,3,C,-,-,-,-,-,-,-,-,100,4,100,6,14.2 - 15.1
751-800,751-800,Anna University,India,L,FO,VH,3,A,-,-,-,-,-,-,45.3,277,-,-,-,-,14.2 - 15.1
751-800,  801-1000,Brigham Young University,United States,XL,CO,VH,5,B,-,-,-,-,-,-,42.8,303,-,-,-,-,14.2 - 15.1
751-800,  801-1000,Chongqing University,China,XL,CO,VH,4,A,-,-,-,-,-,-,36.9,365,-,-,-,-,14.2 - 15.1
751-800,751-800,Comenius University in Bratislava,Slovakia,L,CO,VH,5,A,-,-,-,-,34.8,449,-,-,,-,16.5,575,14.2 - 15.1
751-800,751-800,Dublin Institute of Technology (DIT),Ireland,L,CO,HI,1,A,-,-,-,-,-,-,-,-,43.9,366,48.5,298,14.2 - 15.1
751-800,  801-1000,Florida International University,United States,XL,CO,VH,,,-,-,-,-,-,-,17.6,596,25,500,14.8,596,14.2 - 15.1
751-800,701-750,Gunma University,Japan,M,FO,VH,4,A,-,-,-,-,42.6,359,18.9,568,17.8,575,-,-,14.2 - 15.1
751-800,751-800,"Jamia Millia Islamia, New Delhi",India,M,CO,VH,4,A,-,-,-,-,44.9,334,-,-,-,-,-,-,14.2 - 15.1
751-800,751-800,Kaunas University of Technology,Lithuania,M,FO,VH,4,A,-,-,-,-,35.2,444,-,-,-,-,-,-,14.2 - 15.1
751-800,651-700,Kazakh-British Technical University,Kazakhstan,S,FO,HI,2,A,-,-,-,-,31.6,479,-,-,65.5,266,-,-,14.2 - 15.1
751-800,601-650,Lanzhou University,China,XL,CO,VH,5,A,-,-,-,-,-,-,41.8,315,-,-,-,-,14.2 - 15.1
751-800,751-800,London Metropolitan University,United Kingdom,M,CO,HI,2,A,-,-,-,-,-,-,-,-,57.5,307,98.9,42,14.2 - 15.1
751-800,  801-1000,Loyola University Chicago,United States,L,FC,HI,5,B,-,-,-,-,28.9,519,-,-,-,-,-,-,14.2 - 15.1
751-800,  801-1000,Manchester Metropolitan University,United Kingdom,L,CO,HI,3,A,-,-,-,-,-,-,-,-,40.2,395,38,360,14.2 - 15.1
751-800,751-800,National University Lviv Polytechnic,Ukraine,L,CO,HI,5,A,-,-,-,-,48.2,309,-,-,-,-,-,-,14.2 - 15.1
751-800,751-800,New Jersey Institute of Technology (NJIT),United States,M,CO,VH,5,A,-,-,-,-,-,-,25.7,478,-,-,54.9,266,14.2 - 15.1
751-800,,O. P. Jindal Global University,India,S,SP,LO,2,B,-,-,-,-,46,322,-,-,40.8,389,-,-,14.2 - 15.1
751-800,751-800,Oklahoma State University,United States,L,CO,VH,5,A,-,-,-,-,-,-,23.6,499,42.6,379,-,-,14.2 - 15.1
751-800,651-700,Padjadjaran University,Indonesia,XL,CO,MD,4,A,-,-,-,-,41.7,366,-,-,-,-,-,-,14.2 - 15.1
751-800,751-800,Paris Lodron Universit‰t Salzburg,Austria,L,CO,HI,5,A,-,-,-,-,-,-,20.7,546,,-,96.5,66,14.2 - 15.1
751-800,  801-1000,Plekhanov Russian University of Economics,Russia,L,SP,MD,5,A,-,-,-,-,44.6,340,-,-,-,-,16.4,577,14.2 - 15.1
751-800,  801-1000,Shinshu University,Japan,M,FC,VH,4,A,-,-,-,-,41.5,368,17.5,597,-,-,-,-,14.2 - 15.1
751-800,751-800,Slovak University of Technology in Bratislava,Slovakia,L,FO,VH,4,A,-,-,-,-,44.6,341,-,-,-,-,-,-,14.2 - 15.1
751-800,  801-1000,"Sofia University ""St. Kliment Ohridski""",Bulgaria,L,CO,HI,5,A,-,-,-,-,40.5,379,-,-,-,-,-,-,14.2 - 15.1
751-800,  801-1000,Southern Cross University,Australia,M,CO,VH,3,A,-,-,-,-,-,-,30.9,428,50.9,330,58.6,241,14.2 - 15.1
751-800,,Sunway University,Malaysia,M,FO,HI,2,B,-,-,22,425,31,488,-,-,39.6,399,23.6,490,14.2 - 15.1
751-800,,Technical University of Liberec,Czech Republic,M,SP,HI,4,A,-,-,-,-,50.1,304,-,-,17.9,573,19,541,14.2 - 15.1
751-800,701-750,Technische Universit‰t Dortmund,Germany,XL,CO,VH,4,A,-,-,22,421,-,-,-,-,19.6,552,-,-,14.2 - 15.1
751-800,  801-1000,Universidad de La Sabana,Colombia,L,FC,MD,3,B,-,-,44.4,205,-,-,-,-,-,-,-,-,14.2 - 15.1
751-800,751-800,Universidad de las AmÈricas Puebla (UDLAP),Mexico,M,FC,MD,4,B,-,-,20.5,450,30.6,495,-,-,43,372,-,-,14.2 - 15.1
751-800,701-750,Universidad de San Francisco de Quito,Ecuador,M,FC,MD,3,B,-,-,22.7,413,26.9,555,-,-,60.2,292,-,-,14.2 - 15.1
751-800,  801-1000,Universidad del Rosario,Colombia,M,CO,HI,5,B,-,-,35.6,269,25.9,571,-,-,17.8,577,-,-,14.2 - 15.1
751-800,751-800,Universit‡ Ca' Foscari Venezia,Italy,L,FO,VH,5,A,-,-,19.5,472,-,-,-,-,30,459,-,-,14.2 - 15.1
751-800,  801-1000,Universit‡ degli Studi di Modena e Reggio Emilia,Italy,L,FC,HI,5,A,-,-,-,-,-,-,46.1,266,-,-,-,-,14.2 - 15.1
751-800,751-800,Universit‡ degli Studi di Perugia,Italy,L,FC,HI,5,A,-,-,-,-,-,-,45.1,278,-,-,-,-,14.2 - 15.1
751-800,701-750,Universit‰t Bielefeld,Germany,L,CO,VH,4,A,17.1,481,-,-,-,-,-,-,26.6,489,-,-,14.2 - 15.1
751-800,701-750,Universit‰t D¸sseldorf,Germany,XL,FC,HI,4,A,-,-,-,-,-,-,17.9,590,,-,20.7,520,14.2 - 15.1
751-800,701-750,Universit‰t Rostock,Germany,L,FC,HI,5,A,-,-,-,-,30.8,492,25.9,472,,-,19.4,538,14.2 - 15.1
751-800,701-750,UniversitÈ de Lorraine,France,XL,CO,VH,1,A,-,-,-,-,-,-,-,-,21.9,523,40.2,345,14.2 - 15.1
751-800,,Universiti Malaysia Pahang (UMP),Malaysia,M,SP,VH,2,A,-,-,-,-,-,-,-,-,44.8,360,-,-,14.2 - 15.1
751-800,701-750,University of Brescia,Italy,M,FO,VH,3,A,-,-,-,-,-,-,50.2,226,-,-,16.3,579,14.2 - 15.1
751-800,651-700,University of Crete,Greece,L,FC,HI,3,A,-,-,-,-,-,-,34.7,386,-,-,-,-,14.2 - 15.1
751-800,701-750,University of East London,United Kingdom,M,CO,HI,3,A,-,-,-,-,-,-,-,-,85,193,91.2,104,14.2 - 15.1
751-800,751-800,University of Hertfordshire,United Kingdom,L,CO,HI,3,A,-,-,-,-,-,-,-,-,59.8,296,82.2,136,14.2 - 15.1
751-800,  801-1000,University of Maribor,Slovenia,L,FC,HI,3,A,-,-,-,-,39.3,396,-,-,-,-,-,-,14.2 - 15.1
751-800,751-800,University of Southern Queensland,Australia,L,CO,HI,4,A,-,-,-,-,-,-,21.1,538,64.1,274,34.6,394,14.2 - 15.1
751-800,,University of the West of England,United Kingdom,L,CO,HI,3,,-,-,-,-,-,-,-,-,41.4,387,56.2,259,14.2 - 15.1
751-800,  801-1000,University of Zagreb,Croatia,XL,FC,VH,5,A,-,-,-,-,32.8,460,-,-,-,-,-,-,14.2 - 15.1
751-800,701-750,Yokohama National University,Japan,M,CO,VH,4,A,-,-,-,-,30.4,500,-,-,-,-,-,-,14.2 - 15.1
  801-1000,  801-1000,Adam Mickiewicz University,Poland,XL,CO,HI,5,A,-,-,-,-,23.9,591,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,AGH University of Science and Technology,Poland,L,CO,VH,5,A,-,-,19.1,482,24.9,580,-,-,,-,-,-,9 - 14.1
  801-1000,701-750,Ain Shams University,Egypt,XL,FC,HI,4,A,-,-,26.9,348,-,-,-,-,20.3,544,-,-,9 - 14.1
  801-1000,  801-1000,Alexandria University,Egypt,XL,FC,HI,4,A,-,-,21.8,429,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,"Aligarh Muslim University (AMU), Aligarh",India,L,CO,HI,5,A,-,-,-,-,26.9,556,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,Amrita Vishwa Vidyapeetham,India,L,FC,HI,2,B,-,-,-,-,32.9,459,-,-,46.1,351,-,-,9 - 14.1
  801-1000,  801-1000,Ankara ‹niversitesi,Turkey,XL,FC,HI,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Assiut University,Egypt,XL,FC,HI,4,A,-,-,-,-,-,-,-,-,29.6,462,-,-,9 - 14.1
  801-1000,  801-1000,Athens University of Economics and Business,Greece,M,FO,VH,4,A,-,-,36.9,255,-,-,20.9,544,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Auburn University,United States,L,CO,VH,5,A,-,-,-,-,-,-,22.3,520,-,-,16.3,578,9 - 14.1
  801-1000,  801-1000,Australian Catholic University,Australia,L,CO,HI,3,A,-,-,-,-,-,-,-,-,50.7,331,44.2,320,9 - 14.1
  801-1000,  801-1000,Babes-Bolyai University,Romania,XL,CO,HI,5,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Baku State University,Azerbaijan,L,FO,HI,5,A,-,-,-,-,44.8,337,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Banaras Hindu University,India,L,FC,HI,5,A,-,-,-,-,-,-,20.1,555,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Bangladesh University of Engineering and Technology,Bangladesh,M,SP,HI,3,A,-,-,21.1,437,-,-,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,Baylor University,United States,L,CO,VH,5,B,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Beijing Foreign Studies University,China,M,SP,MD,4,A,-,-,-,-,40.7,377,-,-,23.6,515,28.6,445,9 - 14.1
  801-1000,,Beirut Arab University,Lebanon,M,FC,MD,4,B,-,-,-,-,-,-,-,-,82,209,41.7,334,9 - 14.1
  801-1000,  801-1000,Belarusian National Technical University,Belarus,L,SP,LO,4,A,-,-,26.6,351,36.5,429,-,-,-,-,-,-,9 - 14.1
  801-1000,,Bina Nusantara University (BINUS),Indonesia,L,CO,MD,3,,-,-,-,-,24.9,581,-,-,17.6,580,-,-,9 - 14.1
  801-1000,  801-1000,Binghamton University SUNY,United States,L,CO,HI,4,A,-,-,-,-,-,-,22.8,510,-,-,28.3,448,9 - 14.1
  801-1000,  801-1000,Birla Institute of Technology and Science,India,L,CO,HI,5,B,-,-,-,-,-,-,18.3,582,-,-,-,-,9 - 14.1
  801-1000,,Birmingham City University (BCU),United Kingdom,L,CO,MD,3,,-,-,-,-,-,-,-,-,36.4,420,68,194,9 - 14.1
  801-1000,  801-1000,Budapest University of Technology and Economics,Hungary,L,FO,VH,5,A,-,-,-,-,-,-,-,-,-,-,15.3,590,9 - 14.1
  801-1000,,Canterbury Christ Church University,United Kingdom,M,CO,HI,4,,-,-,-,-,-,-,-,-,34.1,434,25.4,477,9 - 14.1
  801-1000,751-800,COMSATS Institute of Information Technology,Pakistan,XL,CO,HI,2,A,-,-,-,-,26.1,569,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Corvinus University of Budapest,Hungary,M,FO,VH,5,A,-,-,-,-,-,-,-,-,-,-,37.5,367,9 - 14.1
  801-1000,  801-1000,Cracow University of Technology,Poland,M,FO,VH,4,A,-,-,-,-,40.7,376,-,-,,-,-,-,9 - 14.1
  801-1000,,Czech University of Life Sciences in Prague,Czech Republic,L,FO,VH,5,A,-,-,-,-,-,-,-,-,24.7,505,49.1,293,9 - 14.1
  801-1000,  801-1000,De La Salle University,Philippines,L,CO,MD,5,B,16.6,496,23,408,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,,De Montfort University,United Kingdom,L,CO,HI,5,A,-,-,-,-,-,-,-,-,53.5,319,88.6,116,9 - 14.1
  801-1000,  801-1000,Diponegoro University,Indonesia,XL,FC,MD,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,651-700,E.A.Buketov Karaganda State University,Kazakhstan,L,FO,MD,4,A,-,-,-,-,42.3,362,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Edinburgh Napier University,United Kingdom,M,CO,HI,3,A,-,-,-,-,-,-,-,-,51.8,326,82.9,133,9 - 14.1
  801-1000,,Escuela PolitÈcnica Nacional,Ecuador,M,SP,LO,5,,-,-,-,-,45.2,332,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Escuela Superior PolitÈcnica del Litoral - ESPOL,Ecuador,M,FO,HI,4,A,-,-,20.5,451,27.7,541,-,-,17.1,585,-,-,9 - 14.1
  801-1000,  801-1000,Fordham University,United States,L,CO,HI,5,B,-,-,-,-,-,-,-,-,17.4,582,33.9,399,9 - 14.1
  801-1000,,Gdansk University of Technology,Poland,L,FO,VH,5,A,-,-,-,-,32.7,464,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,George Mason University,United States,XL,CO,VH,3,A,-,-,-,-,-,-,22.5,515,-,-,21.3,512,9 - 14.1
  801-1000,751-800,German Jordanian University,Jordan,S,FO,HI,,A,-,-,-,-,28.4,534,-,-,57.8,306,30.4,426,9 - 14.1
  801-1000,,Glasgow Caledonian University,United Kingdom,L,FO,HI,5,A,-,-,-,-,-,-,-,-,33.6,436,43,328,9 - 14.1
  801-1000,  801-1000,Hacettepe University,Turkey,XL,FC,HI,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Istanbul University,Turkey,XL,FC,HI,5,A,17.9,465,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Karaganda State Technical University,Kazakhstan,M,FO,MD,4,A,-,-,-,-,40,384,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Kasetsart University,Thailand,XL,CO,HI,4,A,23.7,353,18,498,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Kazakh Ablai khan University of International Relations and World Languages,Kazakhstan,M,SP,LO,4,A,-,-,-,-,37.2,422,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Kent State University,United States,L,,,5,A,-,-,-,-,-,-,31.9,420,20,550,-,-,9 - 14.1
  801-1000,  801-1000,Khon Kaen University,Thailand,XL,FC,HI,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,King Faisal University,Saudi Arabia,XL,FO,HI,3,A,-,-,-,-,-,-,-,-,99.6,66,-,-,9 - 14.1
  801-1000,  801-1000,King Mongkut's University of Technology Thonburi,Thailand,L,CO,HI,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Kuwait University,Kuwait,XL,FC,MD,4,A,-,-,-,-,-,-,-,-,48.4,341,32.2,411,9 - 14.1
  801-1000,  801-1000,Kyoto Institute of Technology,Japan,S,FO,VH,4,A,-,-,-,-,28.4,531,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Kyushu Institute of Technology,Japan,M,FO,VH,5,A,-,-,-,-,-,-,29.2,443,16.3,596,-,-,9 - 14.1
  801-1000,,Liverpool John Moores University,United Kingdom,L,,,,,-,-,-,-,-,-,-,-,44.7,363,32.7,407,9 - 14.1
  801-1000,  801-1000,Lodz University of Technology,Poland,L,CO,HI,4,A,-,-,-,-,31.9,474,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Marquette University,United States,M,CO,VH,5,B,-,-,-,-,28.7,522,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Miami University,United States,L,CO,HI,5,A,-,-,-,-,-,-,-,-,-,-,30.5,424,9 - 14.1
  801-1000,751-800,Middlesex University,United Kingdom,L,CO,HI,3,A,-,-,-,-,-,-,17.5,598,85.9,190,35.4,383,9 - 14.1
  801-1000,  801-1000,Multimedia University (MMU),Malaysia,M,SP,HI,2,C,-,-,-,-,-,-,-,-,20.2,546,25.8,472,9 - 14.1
  801-1000,  801-1000,Mustansiriyah University,Iraq,XL,FC,MD,4,A,-,-,-,-,35.8,436,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Nagoya Institute of Technology (NIT),Japan,M,SP,VH,5,A,-,-,-,-,-,-,42,312,-,-,-,-,9 - 14.1
  801-1000,  801-1000,National Chung Cheng University,Taiwan,M,CO,VH,3,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Nicolaus Copernicus University,Poland,L,FC,HI,4,A,-,-,-,-,39.3,395,-,-,-,-,-,-,9 - 14.1
  801-1000,,Notre Dame University-Louaize (NDU),Lebanon,M,CO,MD,3,B,-,-,-,-,-,-,-,-,79.5,220,22.5,500,9 - 14.1
  801-1000,  801-1000,Novosibirsk State Technical University,Russia,L,FO,HI,4,A,-,-,-,-,26.5,560,-,-,-,-,44.8,316,9 - 14.1
  801-1000,  801-1000,Ohio University,United States,L,CO,HI,5,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,,Politecnico di Bari,Italy,M,,,,,-,-,-,-,-,-,48.1,248,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Pontificia Universidad Catolica del Ecuador,Ecuador,L,FC,LO,4,B,-,-,20.7,446,25.3,576,-,-,24.8,501,-,-,9 - 14.1
  801-1000,  801-1000,Pontificia Universidade CatÛlica do Rio Grande do Sul,Brazil,M,FC,HI,4,B,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Poznan University of Technology,Poland,L,FO,VH,5,A,-,-,-,-,-,-,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,Prince of Songkla University,Thailand,XL,FC,HI,4,A,16.8,489,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,,Princess Sumaya University for Technology,Jordan,S,FO,HI,3,B,-,-,-,-,-,-,-,-,68.8,257,32.7,408,9 - 14.1
  801-1000,  801-1000,Rhodes University,South Africa,M,CO,VH,5,A,-,-,-,-,-,-,21.8,528,,-,45.2,312,9 - 14.1
  801-1000,  801-1000,Riga Stradins University,Latvia,M,FO,HI,4,A,-,-,-,-,-,-,-,-,-,-,78.8,149,9 - 14.1
  801-1000,,Rikkyo University,Japan,L,FO,HI,5,C,-,-,-,-,38.9,400,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Ritsumeikan University,Japan,XL,CO,HI,5,B,-,-,33.4,286,-,-,-,-,28.8,472,-,-,9 - 14.1
  801-1000,  801-1000,Ryerson University,Canada,XL,CO,HI,4,A,-,-,23.5,396,-,-,34.7,387,,-,-,-,9 - 14.1
  801-1000,  801-1000,Saitama University,Japan,M,CO,VH,4,A,-,-,-,-,-,-,23,508,-,-,-,-,9 - 14.1
  801-1000,  801-1000,San Diego State University,United States,XL,CO,VH,5,A,-,-,-,-,-,-,34.3,390,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Savitribai Phule Pune University,India,M,CO,VH,4,A,-,-,-,-,37.8,412,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,Seoul National University of Science and Technology,South Korea,M,FO,VH,,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Sepuluh Nopember Institute of Technology,Indonesia,L,SP,MD,4,A,-,-,-,-,27.5,544,-,-,42.6,378,-,-,9 - 14.1
  801-1000,  801-1000,Shahid Beheshti University Tehran,Iran,L,FO,VH,4,A,-,-,-,-,-,-,23.5,500,-,-,-,-,9 - 14.1
  801-1000,701-750,Shanghai International Studies University,China,L,SP,MD,4,A,-,-,-,-,30.6,496,-,-,38.9,404,50.1,289,9 - 14.1
  801-1000,,Sheffield Hallam University,United Kingdom,L,,,,,-,-,23.3,401,-,-,-,-,30.7,453,20.2,530,9 - 14.1
  801-1000,  801-1000,Shiraz University,Iran,L,CO,VH,4,A,-,-,-,-,-,-,37.3,360,,-,-,-,9 - 14.1
  801-1000,751-800,Sophia University,Japan,L,CO,HI,5,B,-,-,-,-,-,-,-,-,36.9,416,25.6,476,9 - 14.1
  801-1000,  801-1000,South Ural State University,Russia,L,CO,HI,4,A,-,-,-,-,39.8,386,-,-,-,-,21.8,504,9 - 14.1
  801-1000,  801-1000,Tallinn University,Estonia,M,FO,HI,2,A,-,-,-,-,-,-,-,-,41.9,383,25.7,474,9 - 14.1
  801-1000,  801-1000,Technical University of Kosice,Slovakia,M,FO,VH,4,A,-,-,-,-,31,486,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,TecnolÛgico de Costa Rica (TEC),Costa Rica,M,,,5,,-,-,29.8,321,26.4,563,-,-,-,-,-,-,9 - 14.1
  801-1000,701-750,Texas Tech University,United States,XL,,,,,-,-,-,-,-,-,19.1,565,39.2,403,-,-,9 - 14.1
  801-1000,  801-1000,Thapar University,India,M,FO,VH,4,A,-,-,-,-,-,-,23.5,501,-,-,-,-,9 - 14.1
  801-1000,  801-1000,The Robert Gordon University,United Kingdom,M,CO,HI,3,A,-,-,-,-,-,-,-,-,51.5,327,65.4,205,9 - 14.1
  801-1000,  801-1000,Tokai University,Japan,L,FC,HI,4,B,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Tokyo University of Science,Japan,L,FO,VH,4,B,-,-,-,-,-,-,23.1,506,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad Austral de Chile,Chile,L,FC,MD,4,B,-,-,-,-,-,-,-,-,21.3,536,-,-,9 - 14.1
  801-1000,  801-1000,Universidad AutÛnoma de Nuevo LeÛn (UANL),Mexico,XL,FC,MD,4,A,-,-,19.5,470,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad AutÛnoma del Estado de MÈxico,Mexico,XL,FC,MD,5,A,20.7,399,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Universidad AutÛnoma Metropolitana (UAM),Mexico,XL,FC,HI,3,A,22.7,366,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad CatÛlica AndrÈs Bello - UCAB,Venezuela,L,FO,LO,4,B,18.5,451,49.3,170,-,-,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de Castilla-La Mancha,Spain,L,FC,HI,,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de la Rep˙blica (UdelaR),Uruguay,XL,FC,HI,5,A,17.3,477,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,,Universidad de Lima,Peru,M,,,4,,-,-,36.3,263,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,,Universidad de los Andes Chile,Chile,M,FC,MD,3,B,-,-,22.2,419,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de los Andes MÈrida,Venezuela,XL,FC,MD,5,A,-,-,19.3,475,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de Monterrey,Mexico,M,SP,,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de Murcia,Spain,L,FC,HI,5,A,-,-,-,-,23.8,593,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de Oviedo,Spain,L,,,,,-,-,-,-,-,-,18.6,574,,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de Puerto Rico,Puerto Rico,XL,FC,HI,5,A,-,-,-,-,-,-,-,-,17,586,-,-,9 - 14.1
  801-1000,  801-1000,Universidad de Talca,Chile,M,CO,HI,3,A,-,-,-,-,-,-,-,-,21.2,537,-,-,9 - 14.1
  801-1000,  801-1000,Universidad del Norte,Colombia,L,FC,MD,4,B,-,-,21.1,438,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad del Valle,Colombia,L,FC,MD,4,A,-,-,18.6,491,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad Diego Portales,Chile,L,FC,MD,3,B,-,-,29.5,322,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad EAFIT,Colombia,L,CO,MD,4,B,-,-,52.7,155,-,-,-,-,,-,-,-,9 - 14.1
  801-1000,751-800,Universidad Nacional Costa Rica,Costa Rica,L,CO,MD,3,A,-,-,20.7,448,26,570,-,-,20,549,-,-,9 - 14.1
  801-1000,,Universidad Nacional de AsunciÛn,Paraguay,XL,FC,LO,5,A,-,-,-,-,31.4,481,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad Nacional de CÛrdoba,Argentina,XL,CO,HI,5,A,20.1,412,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad Nacional de Mar del Plata,Argentina,L,CO,HI,3,A,-,-,-,-,-,-,-,-,,-,,-,9 - 14.1
  801-1000,  801-1000,Universidad Nacional de Rosario,Argentina,XL,FC,MD,4,A,17.7,472,-,-,-,-,-,-,,-,,-,9 - 14.1
  801-1000,  801-1000,Universidad Peruana Cayetano Heredia,Peru,M,FO,VH,4,B,-,-,-,-,35.8,437,-,-,16.6,594,-,-,9 - 14.1
  801-1000,  801-1000,Universidad SimÛn BolÌvar Venezuela,Venezuela,M,FO,VH,4,A,-,-,30.7,311,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad TÈcnica Federico Santa MarÌa,Chile,L,FO,HI,4,B,-,-,42.5,222,-,-,-,-,21.8,526,-,-,9 - 14.1
  801-1000,  801-1000,Universidad TecnolÛgica de Panam· (UTP),Panama,L,CO,LO,3,A,-,-,28.8,329,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidad TecnolÛgica Nacional (UTN),Argentina,XL,FO,HI,4,A,-,-,30.6,315,39.5,392,-,-,,-,,-,9 - 14.1
  801-1000,751-800,"Universidade Catolica Portuguesa, Lisboa",Portugal,M,FC,HI,3,B,-,-,24.1,389,-,-,-,-,-,-,20.6,524,9 - 14.1
  801-1000,  801-1000,Universidade da CoruÒa,Spain,L,CO,HI,3,A,-,-,-,-,41.6,367,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,Universidade de Brasilia,Brazil,XL,FC,HI,4,A,22.2,379,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidade de Vigo,Spain,L,,,,,-,-,-,-,-,-,22.6,514,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,XL,FC,HI,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
